,nome,cpf,idade,data,endereco,estado,pais
0,Dr. Raul Monteiro,825.079.143-60,34,05/11/1989,"Alameda Pimenta, 43",Maranhão,Brasil
1,Dr. José Miguel Moreira,916.534.708-01,27,14/03/1997,"Trecho Jesus, 38",Roraima,Brasil
2,Luan da Luz,619.304.725-52,46,13/12/1977,"Viela Noah Silva, 5",Bahia,Brasil
3,Ágatha Costa,721.935.064-34,50,04/09/1974,"Esplanada de Costa, 54",Amazonas,Brasil
4,Srta. Aylla Aparecida,970.632.415-16,35,04/05/1989,"Largo de Costa, 60",Rio de Janeiro,Brasil
5,Fernanda Pereira,541.036.897-57,23,03/07/2001,"Estrada Carvalho, 29",Sergipe,Brasil
6,Lorenzo da Costa,603.894.271-87,29,19/02/1995,"Lago Albuquerque, 3",Amapá,Brasil
7,Pedro Sampaio,583.674.201-44,44,02/04/1980,Aeroporto da Paz,Rondônia,Brasil
8,Nathan Mendes,852.690.137-03,28,04/04/1996,"Estação Pedro Lucas Cavalcante, 777",Pernambuco,Brasil
9,Brenda Silva,641.293.807-96,49,21/02/1975,"Viaduto Maria Eduarda Pacheco, 920",Paraná,Brasil
